NrKR;ROURO;MURO;RAHF;NRMATKI;RMHF;NROJCA;ROHF;ROKWY;MIEWY;KGMLE;KGT£U;PRT£U;KGBIA£;PRBIA£
53308508;1997;7;0.79;37789045;0.59;7186346;1;1999;11;4848;229;4.72;166;3.42
53308394;1997;7;0.75;37734179;0.5;1995840;1;1999;11;5286;186;3.52;162;3.06
53305469;1997;5;0.65;43379229;0.5;723002;0.81;1999;11;5249;194;3.7;174;3.32
53308385;1997;4;0.84;53300049;0.75;2131546;0.94;1999;11;4625;186;4.03;140;3.02
53305287;1997;2;0.68;43372890;0.37;9002841;1;1999;11;4342;180;4.14;145;3.35
53308537;1997;8;0.78;43373355;0.57;6456342;1;2000;1;5523;207;3.75;169;3.06
53308364;1997;6;0.72;43312272;0.5;2135247;0.94;1999;10;4563;194;4.26;167;3.66
53305382;1997;3;0.62;43332417;0.25;3786344;1;1999;11;4870;207;4.26;162;3.33
53305471;1997;5;0.73;43373943;0.5;7207843;0.96;1999;11;5630;226;4.02;120;3.19
53305482;1997;6;0.59;43352329;0.25;2135247;0.94;1999;12;6055;182;3.01;177;2.92
53305500;1997;6;0.56;37789038;0.37;751603;0.75;1999;10;4201;170;4.02;147;3.51
53308517;1997;8;0.68;43372889;0.37;551948;1;1999;10;4317;175;4.05;140;3.25
53305478;1997;5;0.59;43332446;0.25;2131546;0.94;1999;10;4003;178;4.46;132;3.3
53305452;1997;5;0.56;43352397;0.12;3786344;1;1999;10;4484;179;4;130;2.91
53308361;1997;6;0.56;43352306;0.12;551948;1;1999;10;4351;178;4.09;143;3.29
53305397;1997;3;0.75;43373809;0.5;7061348;1;1999;10;3587;143;3.99;121;3.37
53308507;1997;7;0.62;43370379;0.37;7208942;0.88;1999;9;4354;188;4.39;143;3.28
53305415;1997;5;0.62;37777086;0.25;551948;1;1999;9;3873;161;4.21;127;3.34
53308359;1997;6;0.61;43372831;0.23;551948;1;1999;9;4378;163;3.72;139;3.18
